[21:48:12] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[21:48:12] [INIT] Loaded plugins:
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/burning.js in 0.0 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/brain_scan.js in 0.001 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/brain_create.js in 0.001 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/base_power_max_con.js in 0.001 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/base_power.js in 0.002 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/aoe_damage_proj.js in 0.001 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/aoe_damage.js in 0.001 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_weight.js in 0.001 s
[21:48:13] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_transfer.js in 0.006 s
[21:48:14] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_replication.js in 0.001 s
[21:48:14] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_removable.js in 0.001 s
[21:48:14] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_registry.js in 0.002 s
[21:48:14] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_randomizer.js in 0.002 s
[21:48:14] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_index.js in 0.001 s
[21:48:14] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_empathic.js in 0.004 s
[21:48:14] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_absorption.js in 0.004 s
[21:48:14] [INFO] Loaded 76/76 KubeJS startup scripts in 1.364 s with 0 errors and 0 warnings
